Area,Price,Room,Room_Area,Lon,Lat,Zona
85,300000.0,4,21.25,4.947646,52.402266,4
50,245000.0,2,25.0,4.883861,52.417569,0
53,395000.0,3,17.666666666666668,4.851991,52.365663,0
40,365000.0,2,20.0,4.887941,52.35683,3
89,698000.0,5,17.8,4.894517,52.351528,3
80,375000.0,4,20.0,4.840015,52.363904,0
88,375000.0,3,29.33333333333333,4.806525,52.359424,2
71,425000.0,3,23.666666666666668,4.855635,52.37986,0
89,730000.0,3,29.666666666666668,4.88956,52.345979,3
48,325000.0,4,12.0,4.849943,52.384166,0
78,275000.0,3,26.0,4.972526,52.321871,1
67,535000.0,2,33.5,4.894107,52.363363,3
57,375000.0,3,19.0,4.850695,52.383963,0
126,775000.0,5,25.2,4.932925,52.358206,4
78,375000.0,3,26.0,4.814789,52.382249,2
54,400000.0,3,18.0,4.849224,52.350198,0
40,300000.0,2,20.0,4.91803,52.357424,3
104,375000.0,3,34.666666666666664,4.983057,52.318698,1
91,295000.0,3,30.33333333333333,4.981371,52.313749,1
57,345000.0,2,28.5,4.878162,52.325097,3
71,260000.0,3,23.666666666666668,4.967708,52.317064,1
56,225000.0,2,28.0,4.992412,52.295757,1
50,425000.0,2,25.0,4.852084,52.366236,0
90,475000.0,3,30.0,4.996258,52.358696,1
108,425000.0,3,36.0,4.808883,52.363274,2
121,1170000.0,2,60.5,4.883377,52.373492,3
69,520000.0,3,23.0,4.923063,52.35637,3
68,350000.0,4,17.0,4.829524,52.363328,2
108,289500.0,5,21.6,4.974531,52.325473,1
